Time,Velocity,Omega
1571250120.020223,0.300000,-0.298372
1571250120.093984,0.300000,-1.420767
1571250120.138932,0.300000,0.758024
1571250120.238747,0.300000,-1.281200
1571250120.284432,0.300000,-2.264776
1571250120.350147,0.300000,-2.413998
1571250120.388755,0.300000,-2.606928
1571250120.470699,0.300000,-2.419273
1571250120.517247,0.300000,-2.344946
1571250120.572746,0.300000,-2.468717
1571250120.634050,0.300000,-2.634028
1571250120.691523,0.300000,1.295266
1571250120.738113,0.300000,1.415529
1571250120.807469,0.300000,0.096774
1571250120.861247,0.300000,0.113565
1571250120.948385,0.300000,-2.041271
1571250121.003945,0.300000,1.500611
1571250121.050537,0.300000,1.297220
1571250121.104603,0.300000,1.602585
1571250121.157295,0.300000,-3.066435
1571250121.195813,0.300000,-2.983606
1571250121.259960,0.300000,0.587468
1571250121.299565,0.300000,1.123361
1571250121.369735,0.300000,-2.143642
1571250121.409903,0.300000,1.280483
1571250121.475276,0.300000,3.776613
1571250121.527634,0.300000,3.174213
1571250121.585087,0.300000,2.761205
1571250121.636953,0.300000,2.838767
1571250121.698052,0.300000,4.267129
1571250121.733741,0.300000,3.374064
1571250121.787637,0.300000,3.173871
1571250121.879869,0.300000,3.033925
1571250121.936700,0.300000,3.216860
1571250122.004232,0.300000,2.236431
1571250122.079684,0.300000,-0.261144
1571250122.121664,0.300000,0.577978
1571250122.174619,0.300000,0.091996
1571250122.244608,0.300000,-2.676150
1571250122.298597,0.300000,-3.075620
1571250122.359759,0.300000,-2.843485
1571250122.408801,0.300000,-3.456458
1571250122.491080,0.300000,-3.681315
1571250122.538613,0.300000,-3.777205
1571250122.638704,0.300000,-3.630264
1571250122.711671,0.300000,-3.773191
1571250122.756048,0.300000,-3.537422
1571250122.803189,0.300000,-3.417681
1571250122.841299,0.300000,-3.030184
1571250122.874791,0.300000,-3.086786
1571250122.945513,0.300000,-3.170521
1571250123.022775,0.300000,-2.996984
1571250123.067990,0.300000,-1.664709
1571250123.114542,0.300000,-2.930884
1571250123.179626,0.300000,-2.552803
1571250123.223221,0.300000,-3.767795
1571250123.283658,0.300000,-3.981913
1571250123.373811,0.300000,-3.309423
1571250123.406636,0.300000,-3.786848
1571250123.459160,0.300000,-3.135364
1571250123.510537,0.300000,-3.089775
1571250123.570411,0.300000,-3.724242
1571250123.625693,0.300000,-3.265063
1571250123.671470,0.300000,-2.357066
1571250123.723231,0.300000,-2.973417
1571250123.779193,0.300000,-1.738257
1571250123.828073,0.300000,-3.261579
1571250123.862039,0.300000,-3.696899
1571250123.909351,0.300000,-3.684325
1571250123.969706,0.300000,-3.404058
1571250124.007162,0.300000,-3.208639
1571250124.067575,0.300000,-3.286707
1571250124.103761,0.300000,-3.159124
1571250124.173152,0.300000,-3.465579
1571250124.218501,0.300000,-3.549401
1571250124.284936,0.300000,-3.547708
1571250124.335079,0.300000,-2.720854
1571250124.374494,0.300000,0.613241
1571250124.427781,0.300000,-2.893674
1571250124.505919,0.300000,-1.607482
1571250124.545856,0.300000,1.645587
1571250124.593174,0.300000,1.886141
1571250124.642075,0.300000,-0.992357
1571250124.688694,0.300000,-1.142261
1571250124.718146,0.300000,2.460246
1571250124.773797,0.300000,2.086279
1571250124.796425,0.300000,2.585478
1571250124.857047,0.300000,2.655824
1571250124.911846,0.300000,2.749911
1571250124.937086,0.300000,2.693196
1571250124.976696,0.300000,2.443026
1571250125.016813,0.300000,2.588171
1571250125.061282,0.300000,-0.632945
1571250125.116844,0.300000,-0.891591
1571250125.164750,0.300000,-0.829435
1571250125.216666,0.300000,-1.051856
1571250125.262309,0.300000,-1.667657
1571250125.312826,0.300000,1.526673
1571250125.379471,0.300000,-0.842745
1571250125.431080,0.300000,-2.059100
1571250125.480404,0.300000,-2.361518
1571250125.530142,0.300000,-0.916565
1571250125.593829,0.300000,1.574073
1571250125.630940,0.300000,2.197099
1571250125.683908,0.300000,-0.813050
1571250125.732802,0.300000,4.385996
1571250125.775690,0.300000,2.740733
1571250125.827406,0.300000,3.360102
1571250125.878821,0.300000,3.652045
1571250125.921050,0.300000,4.548692
1571250125.968829,0.300000,3.005266
1571250126.018490,0.300000,4.123040
1571250126.051317,0.300000,4.239857
1571250126.098753,0.300000,3.884605
1571250126.148000,0.300000,4.221018
1571250126.187978,0.300000,2.536185
1571250126.230313,0.300000,3.737078
1571250126.268004,0.300000,2.661102
1571250126.306872,0.300000,1.953225
1571250126.367808,0.300000,3.172640
1571250126.432340,0.300000,3.172640
1571250126.490891,0.300000,1.689678
1571250126.533343,0.300000,-0.077783
1571250126.599704,0.300000,-0.643442
1571250126.661491,0.300000,1.694662
1571250126.704963,0.300000,-2.468714
1571250126.755345,0.300000,-2.594159
1571250126.815654,0.300000,-1.702336
1571250126.857707,0.300000,-2.449556
1571250126.906296,0.300000,-3.478388
1571250126.964538,0.300000,-3.418623
1571250127.018798,0.300000,-3.544561
1571250127.068739,0.300000,-2.542086
1571250127.128532,0.300000,-3.183215
1571250127.175893,0.300000,-2.509692
1571250127.220874,0.300000,0.157030
1571250127.274136,0.300000,0.300002
1571250127.335000,0.300000,-1.698915
1571250127.375674,0.300000,-1.073157
1571250127.426612,0.300000,-0.553299
1571250127.493807,0.300000,-1.870259
1571250127.538078,0.300000,-1.381602
1571250127.622079,0.300000,-1.129384
1571250127.667477,0.300000,-0.882393
1571250127.712885,0.300000,-0.883771
1571250127.758079,0.300000,-0.601995
1571250127.798118,0.300000,-1.186023
1571250127.867100,0.300000,1.820141
1571250127.924458,0.300000,-1.096831
1571250127.965067,0.300000,-0.432258
1571250128.025340,0.300000,-0.897456
1571250128.054642,0.300000,-1.335972
1571250128.111516,0.300000,-1.085226
1571250128.158045,0.300000,-0.593515
1571250128.200674,0.300000,-0.404899
1571250128.266698,0.300000,-0.885608
1571250128.313375,0.300000,-1.034706
1571250128.371662,0.300000,-1.142113
1571250128.436954,0.300000,-0.836285
1571250128.495271,0.300000,-0.541777
1571250128.556717,0.300000,-2.104943
1571250128.614604,0.300000,-1.192609
1571250128.654469,0.300000,-1.438105
1571250128.708190,0.300000,-1.543417
1571250128.748584,0.300000,-1.390145
1571250128.802098,0.300000,-1.119333
1571250128.857946,0.300000,-1.693058
1571250128.897140,0.300000,-0.793587
1571250128.938694,0.300000,-1.071467
1571250128.993588,0.300000,-0.800804
1571250129.028483,0.300000,-2.204140
1571250129.075323,0.300000,-0.938859
1571250129.135288,0.300000,-1.295785
1571250129.186928,0.300000,-1.374216
1571250129.244626,0.300000,-0.325276
1571250129.283413,0.300000,-0.278673
1571250129.327968,0.300000,-0.249579
1571250129.377042,0.300000,-1.082688
1571250129.431772,0.300000,-0.430179
1571250129.495780,0.300000,-0.161245
1571250129.544729,0.300000,-0.775439
1571250129.597011,0.300000,1.777684
1571250129.670412,0.300000,-0.633388
1571250129.745373,0.300000,-1.859768
1571250129.856620,0.300000,-1.711983
1571250129.906686,0.300000,-0.359149
1571250129.961268,0.300000,-0.607032
1571250129.989795,0.300000,1.387036
1571250130.062600,0.300000,-0.936952
1571250130.129177,0.300000,-0.911512
1571250130.174066,0.300000,-1.962376
1571250130.212991,0.300000,2.258890
1571250130.247783,0.300000,-1.253990
1571250130.289124,0.300000,-2.049110
1571250130.319469,0.300000,-1.706161
1571250130.367600,0.300000,-1.552470
1571250130.423531,0.300000,-1.700817
1571250130.489237,0.300000,-2.321611
1571250130.535794,0.300000,-1.545025
1571250130.588459,0.300000,-2.025725
1571250130.655429,0.300000,-1.531689
1571250130.700259,0.300000,0.736161
1571250130.734541,0.300000,-1.520186
1571250130.792025,0.300000,-1.435669
1571250130.835270,0.300000,1.256417
1571250130.896015,0.300000,-1.164157
1571250130.939400,0.300000,-0.910148
1571250130.973991,0.300000,-0.894345
1571250131.019569,0.300000,-1.190563
1571250131.072488,0.300000,-0.988325
1571250131.134372,0.300000,-0.993456
1571250131.168716,0.300000,-1.198894
1571250131.219139,0.300000,-1.359266
1571250131.286214,0.300000,-1.635946
1571250131.332917,0.300000,-1.399045
1571250131.405626,0.300000,1.538908
1571250131.464550,0.300000,-1.592193
1571250131.505159,0.300000,-1.358506
